reward_today,future_reward,delay,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
21,25,147,59,59,0,t,1.9022753999997803,None,0,59,59,58,268.5828220000003,,268.5801570000003,268.5828220000003,269.56226830000014,269.56226830000014,269.57562459999826,271.4672903999999,t,1.9022753999997803,None,004,001,2025-11-06_16h47.37.716,IshikaKori_AU2320248_DelayDiscount,,2025.1.1,None,2025-11-06 16h48.36.245869 +0530,
38,55,7,60,60,0,l,2.042642000000342,None,0,60,60,52,271.47172409999985,,271.4695159999974,271.47172409999985,272.46097889999874,272.46097889999874,272.4724994999997,274.5096104999975,l,2.042642000000342,None,004,001,2025-11-06_16h47.37.716,IshikaKori_AU2320248_DelayDiscount,,2025.1.1,None,2025-11-06 16h48.36.245869 +0530,
87,107,11,61,61,0,l,3.3833554000011645,None,0,61,61,35,274.5151851999981,,274.5120007999976,274.5151851999981,275.5011904999992,275.5011904999992,275.5084541999968,278.88479709999956,l,3.3833554000011645,None,004,001,2025-11-06_16h47.37.716,IshikaKori_AU2320248_DelayDiscount,,2025.1.1,None,2025-11-06 16h48.36.245869 +0530,
84,109,29,62,62,0,l,3.560653900000034,None,0,62,62,54,278.89168049999716,,278.88828229999854,278.89168049999716,279.8780685999991,279.8780685999991,279.884565999997,283.44664139999804,l,3.560653900000034,None,004,001,2025-11-06_16h47.37.716,IshikaKori_AU2320248_DelayDiscount,,2025.1.1,None,2025-11-06 16h48.36.245869 +0530,
14,21,19,63,63,0,t,1.8078821000017342,None,0,63,63,80,283.45556529999885,,283.4507025999992,283.45556529999885,284.44028999999864,284.44028999999864,284.4463567999992,286.25374329999977,t,1.8078821000017342,None,004,001,2025-11-06_16h47.37.716,IshikaKori_AU2320248_DelayDiscount,,2025.1.1,None,2025-11-06 16h48.36.245869 +0530,
59,76,125,64,64,0,t,3.8213495000018156,None,0,64,64,40,286.2644685999985,,286.2570605000001,286.2644685999985,287.24670849999893,287.24670849999893,287.26050049999685,291.0759822,t,3.8213495000018156,None,004,001,2025-11-06_16h47.37.716,IshikaKori_AU2320248_DelayDiscount,,2025.1.1,None,2025-11-06 16h48.36.245869 +0530,
76,101,30,65,65,0,t,3.6681470000003173,None,0,65,65,11,291.0829197999992,,291.07920099999683,291.0829197999992,292.06971409999824,292.06971409999824,292.07672319999983,295.7419874999978,t,3.6681470000003173,None,004,001,2025-11-06_16h47.37.716,IshikaKori_AU2320248_DelayDiscount,,2025.1.1,None,2025-11-06 16h48.36.245869 +0530,
57,73,43,66,66,0,t,3.2304449999974167,None,0,66,66,46,295.7490842999978,,295.74568889999864,295.7490842999978,296.7300589999977,296.7300589999977,296.7479766999968,299.9619561999971,t,3.2304449999974167,None,004,001,2025-11-06_16h47.37.716,IshikaKori_AU2320248_DelayDiscount,,2025.1.1,None,2025-11-06 16h48.36.245869 +0530,
27,35,49,67,67,0,t,2.784469199999876,None,0,67,67,67,299.9705574999971,,299.96541629999774,299.9705574999971,300.9565130999981,300.9565130999981,300.95885909999924,303.7417218999981,t,2.784469199999876,None,004,001,2025-11-06_16h47.37.716,IshikaKori_AU2320248_DelayDiscount,,2025.1.1,None,2025-11-06 16h48.36.245869 +0530,
43,67,121,68,68,0,l,3.8549504000002344,None,0,68,68,55,303.7485796000001,,303.74526799999876,303.7485796000001,304.7286639999984,304.7286639999984,304.7395985000003,308.5900167999971,l,3.8549504000002344,None,004,001,2025-11-06_16h47.37.716,IshikaKori_AU2320248_DelayDiscount,,2025.1.1,None,2025-11-06 16h48.36.245869 +0530,
